Amolika,Priceless
Ayushi,One with a long life
Pankaj,Lotus
Jotika,Light
Accost ,"v. t.) ,To join side to side; to border; hence, to sail along the coast or side of.",,,,,,
Accost ,v. t.) To approach; to make up to.,,,,,,
Accost ,v. t.) To speak to first; to address; to greet.,,,,,,
Accost ,v. i.) To adjoin; to lie alongside.,,,,,,
Accost ,n.) Address; greeting.,,,,,,
Accostable ,a.) Approachable; affable.,,,,,,
Accosted ,"a.) Supported on both sides by other charges; also, side by side.",,,,,,
Accouchement ,n.) Delivery in childbed,,,,,,
Accoucheur ,n.) A man who assists women in childbirth; a man midwife; an obstetrician.,,,,,,
Accoucheuse ,n.) A midwife.,,,,,,
Account ,"n.) A reckoning; computation; calculation; enumeration; a record of some reckoning; as, the Julian account of time.",,,,,,
Account ,"n.) A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review; as, to keep one's account at the bank.",,,,,,
Account ,"n.) A statement in general of reasons, causes, grounds, etc., explanatory of some event; as, no satisfactory account has been given of these phenomena. Hence, the word is often used simply for reason, ground, consideration, motive, etc.; as, on no account, on every account, on all accounts.",,,,,,
Account ,"n.) A statement of facts or occurrences; recital of transactions; a relation or narrative; a report; a description; as, an account of a battle.",,,,,,
Account ,n.) A statement and explanation or vindication of one's conduct with reference to judgment thereon.,,,,,,
Account ,n.) An estimate or estimation; valuation; judgment.,,,,,,
Account ,n.) Importance; worth; value; advantage; profit.,,,,,,
Accounted ,imp. & p. p.) of Account,,,,,,
Accounting ,p. pr. & vb. n.) of Account,,,,,,
Account ,v. t.) To reckon; to compute; to count.,,,,,,
Account ,v. t.) To place to one's account; to put to the credit of; to assign; -- with to.,,,,,,
Account ,"v. t.) To value, estimate, or hold in opinion; to judge or consider; to deem.",,,,,,
Account ,v. t.) To recount; to relate.,,,,,,
Account ,"v. i.) To render or receive an account or relation of particulars; as, an officer must account with or to the treasurer for money received.",,,,,,
Account ,"v. i.) To render an account; to answer in judgment; -- with for; as, we must account for the use of our opportunities.",,,,,,
Account ,"v. i.) To give a satisfactory reason; to tell the cause of; to explain; -- with for; as, idleness accounts for poverty.",,,,,,
Accountability ,n.) The state of being accountable; liability to be called on to render an account; accountableness.,,,,,,
Accountable ,"a.) Liable to be called on to render an account; answerable; as, every man is accountable to God for his conduct.",,,,,,
Accountable ,a.) Capable of being accounted for; explicable.,,,,,,
Accountable ness ,n.) The quality or state of being accountable; accountability.,,,,,,
Accountably ,adv.) In an accountable manner.,,,,,,
Accountancy ,n.) The art or employment of an accountant.,,,,,,
Accountant ,n.) One who renders account; one accountable.,,,,,,
Accountant ,n.) A reckoner.,,,,,,
Accountant ,"n.) One who is skilled in, keeps, or adjusts, accounts; an officer in a public office, who has charge of the accounts.",,,,,,
Accountant ,a.) Accountable.,,,,,,
Accountantship ,n.) The office or employment of an accountant.,,,,,,
Account book ,) A book in which accounts are kept.,,,,,,
Accouple ,v. t.) To join; to couple.,,,,,,
Accouplement ,"n.) The act of coupling, or the state of being coupled; union.",,,,,,
Accouplement ,"n.) That which couples, as a tie or brace.",,,,,,
Accourage ,v. t.) To encourage.,,,,,,
Accourt ,v. t.) To treat courteously; to court.,,,,,,
Accoutered ,imp. & p. p.) of Accoutre,,,,,,
Accoutred ,) of Accoutre,,,,,,
Accoutering ,p. pr. & vb. n.) of Accoutre,,,,,,
Accoutring ,) of Accoutre,,,,,,
Accouter ,v. t.) Alt. of Accoutre,,,,,,
Accoutre ,"v. t.) To furnish with dress, or equipments, esp. those for military service; to equip; to attire; to array.",,,,,,
Accouterments ,n. pl.) Alt. of Accoutrements,,,,,,
Accoutrements ,"n. pl.) Dress; trappings; equipment; specifically, the devices and equipments worn by soldiers.",,,,,,
Accoy ,v. t.) To render quiet; to soothe.,,,,,,
Accoy ,v. t.) To subdue; to tame; to daunt.,,,,,,
Accredited ,imp. & p. p.) of Accredit,,,,,,
Accrediting ,p. pr. & vb. n.) of Accredit,,,,,,
Accredit ,v. t.) To put or bring into credit; to invest with credit or authority; to sanction.,,,,,,
Accredit ,"v. t.) To send with letters credential, as an ambassador, envoy, or diplomatic agent; to authorize, as a messenger or delegate.",,,,,,
Accredit ,v. t.) To believe; to credit; to put trust in.,,,,,,
Accredit ,v. t.) To credit; to vouch for or consider ,"some one) as doing something, or ",something) as belonging to some one.,,,,
Accreditation ,"n.) The act of accrediting; as, letters of accreditation.",,,,,,
Accrementitial ,a.) Pertaining to accremention.,,,,,,
Accrementition ,"n.) The process of generation by development of blastema, or fission of cells, in which the new formation is in all respect like the individual from which it proceeds.",,,,,,
Accresce ,v. i.) To accrue.,,,,,,
Accresce ,v. i.) To increase; to grow.,,,,,,
Accrescence ,n.) Continuous growth; an accretion.,,,,,,
Accrescent ,a.) Growing; increasing.,,,,,,
Accrescent ,a.) Growing larger after flowering.,,,,,,
Accrete ,v. i.) To grow together.,,,,,,
Accrete ,v. i.) To adhere; to grow ,to); to be added; -- with to.,,,,,
Accrete ,v. t.) To make adhere; to add.,,,,,,
Accrete ,"a.) Characterized by accretion; made up; as, accrete matter.",,,,,,
Accrete ,a.) Grown together.,,,,,,
Accretion ,n.) The act of increasing by natural growth; esp. the increase of organic bodies by the internal accession of parts; organic growth.,,,,,,
Accretion ,"n.) The act of increasing, or the matter added, by an accession of parts externally; an extraneous addition; as, an accretion of earth.",,,,,,
Accretion ,"n.) Concretion; coherence of separate particles; as, the accretion of particles so as to form a solid mass.",,,,,,
Accretion ,"n.) A growing together of parts naturally separate, as of the fingers toes.",,,,,,
Accretion ,"n.) The adhering of property to something else, by which the owner of one thing becomes possessed of a right to another; generally, gain of land by the washing up of sand or sail from the sea or a river, or by a gradual recession of the water from the usual watermark.",,,,,,
Accretion ,"n.) Gain to an heir or legatee, failure of a coheir to the same succession, or a co-legatee of the same thing, to take his share.",,,,,,
Accretive ,"a.) Relating to accretion; increasing, or adding to, by growth.",,,,,,
Accriminate ,v. t.) To accuse of a crime.,,,,,,
Accroach ,"v. t.) To hook, or draw to one's self as with a hook.",,,,,,
Accroach ,"v. t.) To usurp, as jurisdiction or royal prerogatives.",,,,,,
